Filenames,Contents
train2011-1025_000001.jpg,"Je vous ai envoyé une commande hier, mais je m'aperçois"
train2011-1025_000002.jpg,"que j'ai oublié de commander 3 paires de chaussettes, référence"
train2011-1025_000003.jpg,CH45-12. Pouvez-vous les rajouter?
train2011-1025_000004.jpg,"Avec mes remerciements,"
train2011-1026_000001.jpg,Je souhaiterais modifier ma commande faite précédemment.
train2011-1026_000002.jpg,"En effet, je veux doubler la quantité commandée auparavant."
train2011-1026_000003.jpg,Je joins la somme convenue à  cette  effet.}¤
train2011-1026_000004.jpg,"Je vous prie d'agréer, Monsieur, mes salutations les plus"
train2011-1026_000005.jpg,respectueuses
train2011-1027_000001.jpg,Je souhaiterais modifier ma commande faite précédemment
train2011-1027_000002.jpg,afin d'augmenter la quantité de CD vierges que j'ai  demandé .
train2011-1027_000003.jpg,Je souhaiterais en obtenir 2 lots.
train2011-1027_000004.jpg,"Je vous prie d'agréer, madame, monsieur, mes salutations"
train2011-1027_000005.jpg,les plus respectueuses.
train2011-1028_000001.jpg,Je vous écris car je viens de recevoir mon relevé bancaire du mois
train2011-1028_000002.jpg,de septembre et je souhaite vous rencontrer au plus vite pour en
train2011-1028_000003.jpg,discuter plus en  detail  avec vous.
train2011-1028_000004.jpg,En effet le mois de septembre a été assez difficile puisque j'ai
train2011-1028_000005.jpg,perdu mon emploi et me suis donc trouvé du jour au lendemain
train2011-1028_000006.jpg,sans emploi. Je dois donc aujourd'hui m'organiser en conséquent et
train2011-1028_000007.jpg,réduire mes dépenses en résiliant certains abonnements. Cette procédure
train2011-1028_000008.jpg,"n'est pas immédiate de ce fait, je vous demande de m'offrir une"
train2011-1028_000009.jpg,facilité de paiement. Je vous dois aujourd'hui 5000 € et j'aimerai
train2011-1028_000010.jpg,vous rembourser en  beneficiant  d'un échelonnement. Je me tiens donc
train2011-1028_000011.jpg,à votre disposition pour en discuter de vive voix.
train2011-1028_000012.jpg,"D'autre part, je tiens à vous faire remarquer que le montant de l'assurance"
train2011-1028_000013.jpg,a triplé en deux ans alors que le service offert reste le même.
train2011-1028_000014.jpg,"Dans l'attente, je vous prie d'agréer, Monsieur, mes salutations distinguées."
train2011-1029_000001.jpg,"Suite à mon déménagement, mes coordonnées"
train2011-1029_000002.jpg,postales ont changé. Ma nouvelle adresse est
train2011-1029_000003.jpg,celle indiquée en entête de cette lettre.
train2011-1029_000004.jpg,"En outre, pourriez-vous me renvoyer ma facture"
train2011-1029_000005.jpg,du 26/09/2006 que je n' ais  pas reçu.
train2011-1029_000006.jpg,"Cordialement,"
train2011-1030_000001.jpg,Je me permets de vous relancer suite à mon courrier de demande d'information
train2011-1030_000002.jpg,du mois dernier qui est resté sans réponse.
train2011-1030_000003.jpg,"Dans l'attente d'un retour de votre part,"
train2011-1030_000004.jpg,Cordialement
train2011-1031_000001.jpg,Pourriez vous m'envoyer une documentation
train2011-1031_000002.jpg,concernant les contrats d'assurances  auto à
train2011-1031_000003.jpg,mon adresse indiquée ci-dessus.
train2011-1031_000004.jpg,"Cordialement,"
train2011-1032_000001.jpg,Je désire commander un lot de cinquante CD
train2011-1032_000002.jpg,vierges. La référence du produit est la suivante :
train2011-1032_000003.jpg,010-25-CDV
train2011-1032_000004.jpg,Ma référence client est la suivante :
train2011-1032_000005.jpg,NXJBZ49
train2011-1032_000006.jpg,Je vous remercie d'avance de traiter ma
train2011-1032_000007.jpg,commande dans les plus brefs délais.
train2011-1032_000008.jpg,En cas de problèmes je suis joignable au
train2011-1032_000009.jpg,numéro indiqué ci-dessus.
train2011-1032_000010.jpg,Je réglerais la facture à la réception du
train2011-1032_000011.jpg,colis.
train2011-1032_000012.jpg,Cordialement M. Pellet.
train2011-1033_000001.jpg,Je souhaierais souscrire à l'un de vos abonnements.
train2011-1033_000002.jpg,"Afin de faire mon choix, pourriez-vous me faire"
train2011-1033_000003.jpg,parvenir le catalogue des produits que vous
train2011-1033_000004.jpg,proposez.
train2011-1033_000005.jpg,"En vous remerciant par avance,"
train2011-1033_000006.jpg,"je vous ¤{prie}¤ d'agréer, Madame, Monsieur, l'expression de"
train2011-1033_000007.jpg,nos salutations distinguées.
train2011-1034_000001.jpg,Je fais appel à vous car je viens de provoquer malencontreusement
train2011-1034_000002.jpg,un accident de la route.
train2011-1034_000003.jpg,Vous trouverez ci-joint le constat amiable rempli conjointement avec
train2011-1034_000004.jpg,l'autre conducteur.
train2011-1034_000005.jpg,Pourriez-vous faire expertiser rapidement mon véhicule et me faire
train2011-1034_000006.jpg,part de vos conclusions ?
train2011-1034_000007.jpg,"Dans l'attente, je vous prie d'agréer, Messieurs, l'expression de"
train2011-1034_000008.jpg,mes sentiments distingués.
train2011-1035_000001.jpg,"Par la présente, je"
train2011-1035_000002.jpg,souhaiterais procéder à mon abonnement
train2011-1035_000003.jpg,à votre bimensuel.
train2011-1035_000004.jpg,Le surcroît de temps qui
train2011-1035_000005.jpg,m'a été accordé récemment pour mes
train2011-1035_000006.jpg,"loisirs, ainsi que la qualité éditoriale"
train2011-1035_000007.jpg,reconnue de votre publication m'ont
train2011-1035_000008.jpg,convaincu de choisir la Charité.
train2011-1035_000009.jpg,"Bien cordialement,"
train2011-1036_000001.jpg,"Suite à ma commande du 5 octobre 2006, je me suis aperçue que"
train2011-1036_000002.jpg,j'avais malencontreusement oublié un produit à ma commande.
train2011-1036_000003.jpg,"En effet, pourriez-vous s'il vous plaît me rejouter dans mon colis un lot"
train2011-1036_000004.jpg,de 50 CD vierges dont la référence est : 010-25-CDV d'une valeur de
train2011-1036_000005.jpg,35 euros.
train2011-1036_000006.jpg,Je vous remercie d'avance.
train2011-1036_000007.jpg,"Veuillez agréer Madame, Monsieur, mes salutations distinguées."
train2011-1037_000001.jpg,Je vous écris pour vous faire part de mon
train2011-1037_000002.jpg,mariage et de mon changement d'adresse que
train2011-1037_000003.jpg,vous trouverez  ci-dessus.
train2011-1037_000004.jpg,Je voulais savoir si mon mariage allait
train2011-1037_000005.jpg,changer quelque chose à ma situation
train2011-1037_000006.jpg,auprès de l aprime de chômage.
train2011-1037_000007.jpg,Pouvez vous  me dire si l'anpe me verse
train2011-1037_000008.jpg,une aide pour mon déménagement.
train2011-1037_000009.jpg,Dans l'attente de votre réponse.
train2011-1037_000010.jpg,cordialement
train2011-1038_000001.jpg,"De vos clients fidèles depuis maintenant plus de 15 ans, je vous écris"
train2011-1038_000002.jpg,pour vous demander à l'avance votre futur catalogue Printemps/Eté 2001.
train2011-1038_000003.jpg,Je vous prie de me le faire parvenir par voie postale dès sa parution.
train2011-1038_000004.jpg,"Je vous envoie également une commande pour des articles de mode,"
train2011-1038_000005.jpg,s'élevant à 700 FRF (sept  cent  francs).
train2011-1038_000006.jpg,Merci pour votre attention.
train2011-1039_000001.jpg,"Ayant vu votre dernière publicité sur internet, je"
train2011-1039_000002.jpg,souhaiterais connaître les démarches pour devenir
train2011-1039_000003.jpg,Client de votre offre téléphonie.
train2011-1039_000004.jpg,Merci de m'envoyer un dossier d'information et d'inscription
train2011-1039_000005.jpg,par retour de courrier.
train2011-1039_000006.jpg,En vous remerciant par avance.
train2011-1039_000007.jpg,"Je vous prie d'agréer, Monsieur, l'expression de ma considération"
train2011-1039_000008.jpg,distinguée.
train2011-1040_000001.jpg,A la lecture de ma dernière facture  telephonique  datée du
train2011-1040_000002.jpg,"5 octobre 2006, j'ai constaté une anomalie dans le"
train2011-1040_000003.jpg,"montant du mois passé. En effet, le montant facturé"
train2011-1040_000004.jpg,"était de 56 euros, soit 10 euros de plus que la"
train2011-1040_000005.jpg,valeur de mon forfait. Or je n'ai pas eu de dépas-
train2011-1040_000006.jpg,sement de forfait et je n'ai effectué aucun appel
train2011-1040_000007.jpg,hors forfait.
train2011-1040_000008.jpg,"Par conséquent, je vous prie de bien vouloir vérifier"
train2011-1040_000009.jpg,ce montant et de m'envoyer une facture détaillée de
train2011-1040_000010.jpg,ma consommation du mois de septembre le plus
train2011-1040_000011.jpg,rapidement possible.
train2011-1040_000012.jpg,Recevez monsieur l'expression de ma considération distinguée
train2011-1041_000001.jpg,"Suite à la perte de mon emploi, je désire"
train2011-1041_000002.jpg,"reconsidérer la gestion de mes comptes, afin"
train2011-1041_000003.jpg,de pouvoir m'adapter à cette nouvelle situation.
train2011-1041_000004.jpg,Je souhaiterais donc prendre contract avec
train2011-1041_000005.jpg,un conseiller pour prendre des décisions adaptées.
train2011-1041_000006.jpg,Pouriez vous  m'obtenir un rendez-vous avec
train2011-1041_000007.jpg,l'un de vos conseillers ?
train2011-1041_000008.jpg,"Vous remerciant d'avance, je vous prie d'agréer,"
train2011-1041_000009.jpg,"Monsieur, mes plus sincères salutations."
train2011-1042_000001.jpg,Cliente de votre établissement depuis de nombreuses
train2011-1042_000002.jpg,"années, je souhaiterais aujourd'hui investir en bourse."
train2011-1042_000003.jpg,"N'ayant pas encore acquis de connaissance suffisante, je"
train2011-1042_000004.jpg,vous laisse le choix du placement.
train2011-1042_000005.jpg,Je passe donc commande d'actions boursières
train2011-1042_000006.jpg,pour un montant total de 1500 euros.
train2011-1042_000007.jpg,"Dans l'attente de votre réponse, veuillez, Monsieur,"
train2011-1042_000008.jpg,agréer l'expression de mes sentiments distingués.
train2011-1043_000001.jpg,"Suite à notre rendez-vous, je vous confirme mon intention"
train2011-1043_000002.jpg,de placer des capitaux en bourse.
train2011-1043_000003.jpg,Dans un premier temps j'aimerai passer commande de
train2011-1043_000004.jpg,1500 € d'actions. Je vous laisse choisir les meilleurs placements
train2011-1043_000005.jpg,à effectuer pour cette somme que vous pourrez prélever
train2011-1043_000006.jpg,sur mon CODEVI.
train2011-1043_000007.jpg,Je me tiens à votre disposition pour tout complément d'informations.
train2011-1043_000008.jpg,Cordialement
train2011-1044_000001.jpg,Je vous  écrit  cette lettre afin de modifier la teneur du contrat de
train2011-1044_000002.jpg,commande me liant à votre entreprise. Je voudrais en effet doubler
train2011-1044_000003.jpg,la quantité de CD vierges que je vous ai commandé. Serait-il possible
train2011-1044_000004.jpg,pour vous de prendre acte de cette modification dès la réception de cette
train2011-1044_000005.jpg,lettre !
train2011-1044_000006.jpg,"En vous remerciant d'avance, veuillez agréer, Madame, Monsieur, l'expression"
train2011-1044_000007.jpg,de mes salutations distinguées.
train2011-1045_000001.jpg,Un ami m'a longuement parlé de votre compagnie
train2011-1045_000002.jpg,d'assurances et je souhaiterais aujourd'hui y ouvrir
train2011-1045_000003.jpg,un compte.
train2011-1045_000004.jpg,"Pourriez-vous, s'il vous plaît, m' expliciter  la marche à"
train2011-1045_000005.jpg,suivre pour devenir client de BAAF Assurances ?
train2011-1045_000006.jpg,"En vous remerciant par avance,"
train2011-1045_000007.jpg,"Veuillez recevoir, Madame, Monsieur, mes sincères salutations,"
train2011-1045_000008.jpg,"Cordialement,"
train2011-1046_000001.jpg,Etant client de la banque Société géniale et
train2011-1046_000002.jpg,"ayant des horaires de travail  particulier , je"
train2011-1046_000003.jpg,souhaiterais  connaitre  vos horaires d'ouverture.
train2011-1046_000004.jpg,Je vous prie de me fournir le détail pour chaque
train2011-1046_000005.jpg,jour de la semaine car mon emploi du temps
train2011-1046_000006.jpg,est très variable.
train2011-1046_000007.jpg,"Je vous remercie par avance pour votre réponse,"
train2011-1046_000008.jpg,"que je sais rapide dans la plupart des cas,"
train2011-1046_000009.jpg,Sincèrement.
train2011-1047_000001.jpg,Je me permets de vous adresser une demande de
train2011-1047_000002.jpg,mensualisation concernant mes impôts sur le revenu 2005.
train2011-1047_000003.jpg,Pouvez-vous m'adresser les documents nécessaires à la
train2011-1047_000004.jpg,mise en place de cette mensualisation.
train2011-1047_000005.jpg,Restant à votre disposition pour tout complément
train2011-1047_000006.jpg,"d'information, je vous remercie de l'attention que vous"
train2011-1047_000007.jpg,porterez à ma demande.
train2011-1047_000008.jpg,Cordialement.
train2011-1048_000001.jpg,"Je viens d'avoir un enfant. A ce titre, je souhaite me"
train2011-1048_000002.jpg,renseigner sur les contrats d' assurances  vie que j'ai
train2011-1048_000003.jpg,"souscrit, notamment sur les conséquences de cet heureux"
train2011-1048_000004.jpg,évènement.
train2011-1048_000005.jpg,"Je vous prie d'agréer, madame, monsieur, l'expression"
train2011-1048_000006.jpg,de mes salutations distinguées.
train2011-1049_000001.jpg,"Le mois dernier, mon véhicule immatriculé"
train2011-1049_000002.jpg,1507 VF 67 a été expertisé par l'un de
train2011-1049_000003.jpg,vos agents. Cette expertise faisait suite
train2011-1049_000004.jpg,à l'accident daté du 7 septembre 2006.
train2011-1049_000005.jpg,"Sans nouvelles de votre part, je me per-"
train2011-1049_000006.jpg,mets de vous contacter afin de connaî-
train2011-1049_000007.jpg,tre les suites de votre expertise.
train2011-1049_000008.jpg,"Dans l'attente d'une réponse, je vous prie"
train2011-1049_000009.jpg,"de croire, madame, monsieur, l'expression"
train2011-1049_000010.jpg,de mes salutations distinguées.
train2011-1050_000001.jpg,C'est la fin des vides greniers et j'ai donc
train2011-1050_000002.jpg,remonté mes invendus. Je viens de retrouver un
train2011-1050_000003.jpg,bon de réduction de 60  4898916ans votre catalogue de
train2011-1050_000004.jpg,1977. J'aimerai ouvrir un compte pour m'acheter
train2011-1050_000005.jpg,un merveilleux bac à  glacon  orange fluo en forme
train2011-1050_000006.jpg,de pomme de la page 6. Merci de m'indiquer
train2011-1050_000007.jpg,la marche à suivre.
train2011-1050_000008.jpg,Commercialement
train2011-1051_000001.jpg,"Venant de mettre au monde mon premier enfant,"
train2011-1051_000002.jpg,"j'aimerais obtenir des renseignements sur vos contrats d'assurance-vie,"
train2011-1051_000003.jpg,afin de protéger mon fils du mieux possible.
train2011-1051_000004.jpg,"Etant déjà cliente chez vous (Réf. : UTESJ04), pourriez-"
train2011-1051_000005.jpg,vous me faire parvenir votre documentation sur ce sujet ?
train2011-1051_000006.jpg,"Je vous prie d'agréer, Madame, Monsieur, l'expression"
train2011-1051_000007.jpg,de mes salutations  distingués .
train2011-1052_000001.jpg,Je me permets de vous écrire car je
train2011-1052_000002.jpg,compte changer d'assurance.
train2011-1052_000003.jpg,Pouvez-vous me faire parvenir une documentation
train2011-1052_000004.jpg,concernant les contrats d'assurance automobile.
train2011-1052_000005.jpg,Dans l'attente veuillez agréer mes salutations
train2011-1052_000006.jpg,distingués
train2011-1053_000001.jpg,J' aimerai  venir dans votre banque pour
train2011-1053_000002.jpg,cela pouvez-vous me donner les
train2011-1053_000003.jpg,horaires d'accueil du public.
train2011-1053_000004.jpg,"dans  l'attente, veuillez agréer mes salutations"
train2011-1053_000005.jpg,distingués
train2011-1054_000001.jpg,J'ai le regret de vous faire part de ma décision de résilier
train2011-1054_000002.jpg,mon contrat d'assurance habitation. Je suis en effet très
train2011-1054_000003.jpg,insatisfaite de la façon dont vous vous êtes  occupés  de mon
train2011-1054_000004.jpg,dossier lors du sinistre du mois d'août dernier.
train2011-1054_000005.jpg,Je vous prie de bien vouloir fermer mon
train2011-1054_000006.jpg,compte à compter du 31 octobre 2006.
train2011-1054_000007.jpg,"Avec mes salutations,"
train2011-1055_000001.jpg,"Suite  a  la naissance de mon enfant, j'aime-"
train2011-1055_000002.jpg,rai  vous rencontrer pour étudier mes
train2011-1055_000003.jpg,contrats.
train2011-1055_000004.jpg,Je vous remercie de bien vouloir m'indiquer
train2011-1055_000005.jpg,la date et  l heure  d'un prochain rendez-vous.
train2011-1055_000006.jpg,Je vous prie d'agréer mes sincères salutations
